Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Matrículas;Número de Concluintes;Grau Acadêmico;Modalidade Ensino;Organização Acadêmica
2017;PRIVADA;PRIVADA;4;1441801;198085;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;916928;127605;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;1548123;208656;BACHARELADO;PRESENCIAL;FACULDADES
2017;PRIVADA;PRIVADA;4;367805;48557;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;131680;9992;BACHARELADO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;11539;1057;BACHARELADO;CURSO A DISTÂNCIA;FACULDADES
2017;PRIVADA;PRIVADA;4;109780;22992;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;67091;15171;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;177407;41300;LICENCIATURA;PRESENCIAL;FACULDADES
2017;PRIVADA;PRIVADA;4;410782;71328;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;191718;23001;LICENCIATURA;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;30823;4420;LICENCIATURA;CURSO A DISTÂNCIA;FACULDADES
2017;PRIVADA;PRIVADA;4;125109;31730;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;100303;25445;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;163150;38561;TECNOLÓGICO;PRESENCIAL;FACULDADES
2017;PRIVADA;PRIVADA;4;264431;48744;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PRIVADA;PRIVADA;4;167826;29073;TECNOLÓGICO;CURSO A DISTÂNCIA;CENTROS UNIVERSITÁRIOS
2017;PRIVADA;PRIVADA;4;14806;2259;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2016;PÚBLICA;FEDERAL;1;23638;24;-;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;197;0;-;PRESENCIAL;FACULDADES
2016;PÚBLICA;FEDERAL;1;340;0;-;PRESENCIAL;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;746068;90648;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;1262;220;BACHARELADO;PRESENCIAL;FACULDADES
2016;PÚBLICA;FEDERAL;1;58717;3828;BACHARELADO;PRESENCIAL;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;16995;1531;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;253;0;BACHARELADO;CURSO A DISTÂNCIA;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;235003;31185;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;223;25;LICENCIATURA;PRESENCIAL;FACULDADES
2016;PÚBLICA;FEDERAL;1;44727;3718;LICENCIATURA;PRESENCIAL;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;42867;6814;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;5212;525;LICENCIATURA;CURSO A DISTÂNCIA;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;13605;2056;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;51999;4918;TECNOLÓGICO;PRESENCIAL;IFs e CEFETs
2016;PÚBLICA;FEDERAL;1;5003;411;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;FEDERAL;1;3344;488;TECNOLÓGICO;CURSO A DISTÂNCIA;IFs e CEFETs
2016;PÚBLICA;ESTADUAL;2;8213;69;-;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;293338;37044;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;845;24;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PÚBLICA;ESTADUAL;2;2408;338;BACHARELADO;PRESENCIAL;FACULDADES
2016;PÚBLICA;ESTADUAL;2;9399;1907;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;194676;27630;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;3352;846;LICENCIATURA;PRESENCIAL;FACULDADES
2016;PÚBLICA;ESTADUAL;2;31753;3042;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;9847;1383;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;693;37;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PÚBLICA;ESTADUAL;2;64859;8991;TECNOLÓGICO;PRESENCIAL;FACULDADES
2016;PÚBLICA;ESTADUAL;2;219;37;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;ESTADUAL;2;4108;0;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2016;PÚBLICA;MUNICIPAL;3;27;1;-;PRESENCIAL;FACULDADES
2016;PÚBLICA;MUNICIPAL;3;39637;5892;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;MUNICIPAL;3;18731;2685;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PÚBLICA;MUNICIPAL;3;33437;4763;BACHARELADO;PRESENCIAL;FACULDADES
2016;PÚBLICA;MUNICIPAL;3;879;130;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2016;PÚBLICA;MUNICIPAL;3;4656;948;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2016;PÚBLICA;MUNICIPAL;3;2012;482;LICENCIATURA;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2016;PÚBLICA;MUNICIPAL;3;12584;3107;LICENCIATURA;PRESENCIAL;FACULDADES
